,PRODUCT_ID,MANUFACTURER,DEPARTMENT,BRAND,COMMODITY_DESC,SUB_COMMODITY_DESC,CURR_SIZE_OF_PRODUCT
813,51220,1646,PRODUCE,National,SALAD MIX,GARDEN PLUS,10 OZ
833,51930,165,GROCERY,National,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
839,52318,69,PRODUCE,Private,CARROTS,CARROTS MINI PEELED,2 LB
844,52433,1504,GROCERY,National,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,32 OZ
864,53045,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
882,53961,2274,PRODUCE,National,SALAD MIX,SALAD SPINACH,10 OZ
893,54411,69,GROCERY,Private,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,14.5 OZ
897,54492,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,B D  16 OZ
926,56098,69,GROCERY,Private,VEGETABLES - SHELF STABLE,MUSHROOMS CND & GLASS,4 OZ
934,56374,1446,GROCERY,National,VEGETABLES - SHELF STABLE,KRAUT & CABBAGE,14 OZ
939,56918,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN CORN ON THE COB,7.25 LB
941,57061,69,GROCERY,Private,VEGETABLES - SHELF STABLE,MUSHROOMS CND & GLASS,4 OZ
952,57462,2,PRODUCE,National,CORN,CORN YELLOW,48 CT
954,57570,1837,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,14.5 OZ
955,57687,1446,GROCERY,National,VEGETABLES - SHELF STABLE,KRAUT & CABBAGE,14 OZ
1009,60570,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
1027,61385,407,GROCERY,National,VEGETABLES - SHELF STABLE,PEAS & ONIONS PEAS & CARROT,8.5 OZ
1028,61398,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
1041,61977,69,GROCERY,Private,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,28 OZ
1042,61988,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,12 OZ
1049,62355,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
1055,62493,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
1064,62868,69,GROCERY,Private,VEGETABLES - SHELF STABLE,PEAS GREEN,15 OZ
1066,62904,407,GROCERY,National,VEGETABLES - SHELF STABLE,CORN,8.5 OZ
1069,62949,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
1076,63293,69,GROCERY,Private,VEGETABLES - SHELF STABLE,POTATOES SWEET,40 OZ
1091,63945,715,GROCERY,National,VEGETABLES - SHELF STABLE,SPINACH & GREENS,14 OZ
1105,64452,69,GROCERY,Private,VEGETABLES - SHELF STABLE,ASPARAGUS,14.5 OZ
1106,64516,165,GROCERY,National,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
1107,64527,69,GROCERY,Private,VEGETABLES - SHELF STABLE,BEANS WAX SHELLIES,15 OZ
1109,64551,407,GROCERY,National,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,8 OZ
1124,64842,69,GROCERY,Private,VEGETABLES - SHELF STABLE,TOMATO PASTE,6OZ
1130,65342,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,10 OZ
1145,66092,673,PRODUCE,National,BROCCOLI/CAULIFLOWER,CAULIFLOWER WHOLE, 
1146,66099,165,GROCERY,National,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES- VALUE,16 OZ
1158,66469,69,GROCERY,Private,VEGETABLES - SHELF STABLE,KRAUT & CABBAGE,27 OZ
1179,67573,282,GROCERY,National,FRZN VEGETABLE/VEG DSH,FRZN CORN ON THE COB,12 CT
1184,67822,165,GROCERY,National,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,14 OZ
1190,68117,715,GROCERY,National,VEGETABLES - SHELF STABLE,SPINACH & GREENS,13.5 OZ
1207,68869,407,GROCERY,National,VEGETABLES - SHELF STABLE,KRAUT & CABBAGE,8 OZ
1213,69192,282,GROCERY,National,VEGETABLES - SHELF STABLE,PEAS GREEN,15 OZ
1231,70028,69,GROCERY,Private,VEGETABLES - SHELF STABLE,PEAS GREEN,15 OZ
1235,70153,499,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATO PASTE,12 OZ
1260,71176,787,PRODUCE,National,ONIONS,ONIONS OTHER,6 OZ
1261,71198,407,GROCERY,National,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,14.5 OZ
1272,71673,282,GROCERY,National,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,14.5 OZ
1299,72547,407,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,14.5 OZ
1335,73772,135,GROCERY,National,FRZN VEGETABLE/VEG DSH,FRZN BREADED VEGETABLES,20 OZ
1339,74230,499,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,14.5 OZ
1348,74671,407,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,14.5 OZ
1354,74980,69,PRODUCE,Private,CARROTS,CARROTS MINI PEELED,1 LB
1356,75076,407,GROCERY,National,VEGETABLES - SHELF STABLE,CORN,15.25 OZ
1363,75618,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
1376,76246,499,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATO SAUCE,15 OZ
1398,77320,673,PRODUCE,National,ONIONS,ONIONS WHITE (BULK&BAG), 
1434,78851,407,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,14.5 OZ
1509,81562,673,PRODUCE,National,ONIONS,ONIONS WHITE (BULK&BAG),12/2 LB
1515,81724,499,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATO PUREE & ASPIC,10.75 OZ
1528,82393,2,PRODUCE,National,ONIONS,ONIONS SWEET (BULK&BAG),40 LB
1539,82936,69,GROCERY,Private,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,15 OZ
1600,85357,69,GROCERY,Private,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,14.5 OZ
1646,87331,69,GROCERY,Private,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,14.5 OZ
1649,87493,2,PRODUCE,National,PEPPERS-ALL,PEPPERS RED BELL,15 LB
1669,88510,1837,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,28 OZ
1709,90234,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BOXED VEGETABLES - PLAIN,10 OZ
1761,92018,407,GROCERY,National,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,14.5 OZ
1821,94003,165,GROCERY,National,FRZN VEGETABLE/VEG DSH,FRZN BOXED VEGETABLES- VALUE A,10 OZ
1913,97935,1646,PRODUCE,National,SALAD MIX,REGULAR GARDEN,3 LB
1916,97991,407,GROCERY,National,VEGETABLES - SHELF STABLE,PEAS GREEN,15 OZ
1933,98464,69,PRODUCE,Private,CARROTS,CARROTS BAGGED,BD    2 LB
1936,98720,407,GROCERY,National,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,14.5 OZ
1938,98878,1646,PRODUCE,National,SALAD MIX,REGULAR GARDEN,6 OZ
1942,99089,165,GROCERY,National,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
1950,99340,1446,GROCERY,National,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,14.5 OZ
1953,99596,1646,PRODUCE,National,SALAD MIX,BLENDS,8 OZ
1955,99676,1646,PRODUCE,National,SALAD MIX,BLENDS,10 OZ
1969,100282,1646,PRODUCE,National,SALAD MIX,BLENDS,10 OZ
2014,101955,1837,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,14.5 OZ
2035,102969,2257,PRODUCE,National,CARROTS,CARROTS BAGGED,3 LB
2042,103450,1646,PRODUCE,National,SALAD MIX,BLENDS,12 OZ
2055,103816,1646,PRODUCE,National,SALAD MIX,BLENDS,10 OZ
2064,104378,1377,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,10 OZ
2070,104777,529,PRODUCE,National,VEGETABLES SALAD,VARIETY LETTUCE,12 CT
2078,105255,1377,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,10 OZ
2080,105358,1504,GROCERY,National,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,32 OZ
2095,106018,1083,GROCERY,National,VEGETABLES - SHELF STABLE,KRAUT & CABBAGE,16 OZ
2108,106438,1837,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,15 OZ
2113,106667,1646,PRODUCE,National,SALAD MIX,SALAD SPINACH,6 OZ
2116,106725,843,GROCERY,National,VEGETABLES - SHELF STABLE,SPINACH & GREENS,14.5 OZ
2119,106817,1083,GROCERY,National,VEGETABLES - SHELF STABLE,BEETS,16 OZ
2127,106989,1446,GROCERY,National,VEGETABLES - SHELF STABLE,MIXED VEGETABLES,15.25 OZ
2160,108705,1646,PRODUCE,National,SALAD MIX,BLENDS,10 OZ
2206,111625,2257,PRODUCE,National,CARROTS,CARROTS BAGGED,16 OZ
2270,115244,2257,PRODUCE,National,VALUE ADDED VEGETABLES,CUT VEGETABLES ALL OTHER,10 OZ
2317,117885,673,PRODUCE,National,ONIONS,ONIONS WHITE (BULK&BAG),5 LB BAG
2321,118049,843,GROCERY,National,VEGETABLES - SHELF STABLE,SPINACH & GREENS,14.5 OZ
2335,118986,895,GROCERY,Private,VEGETABLES - SHELF STABLE,CORN,15.25 OZ
2339,119202,282,GROCERY,National,VEGETABLES - SHELF STABLE,MUSHROOMS CND & GLASS,4OZ
2369,121018,5124,PRODUCE,National,CORN,CORN YELLOW,5 CT
2428,124053,715,GROCERY,National,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,14.5 OZ
2431,124302,2257,PRODUCE,National,VALUE ADDED VEGETABLES,CUT VEGETABLES ALL OTHER,12 OZ
2435,124692,715,GROCERY,National,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,28 OZ
2452,126340,1446,GROCERY,National,VEGETABLES - SHELF STABLE,CORN,15 OZ
2464,126853,1446,GROCERY,National,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,14.25 OZ
2473,127776,1646,PRODUCE,National,SALAD MIX,GARDEN PLUS,12 OZ
2490,129417,2,PRODUCE,National,ONIONS,ONIONS YELLOW (BULK&BAG),50 LB
2526,132573,1646,PRODUCE,National,SALAD MIX,KITS,10 OZ
2531,133138,1446,GROCERY,National,VEGETABLES - SHELF STABLE,CORN,15.25 OZ
2532,133258,1527,GROCERY,National,VEGETABLES - SHELF STABLE,MISCELLANEOUS VEGETABLES,6 1/2 OZ
2548,134954,407,GROCERY,National,VEGETABLES - SHELF STABLE,MISCELLANEOUS VEGETABLES,14.5 OZ
2575,138619,2,PRODUCE,National,PEPPERS-ALL,PEPPERS GREEN BELL,65 CT
2579,139879,2,PRODUCE,National,ONIONS,ONIONS SWEET (BULK&BAG),19 LB
2581,140514,1646,PRODUCE,National,SALAD MIX,REGULAR GARDEN,10 OZ
2638,150989,1446,GROCERY,National,VEGETABLES - SHELF STABLE,PEAS GREEN,15 OZ
2648,153185,2,PRODUCE,National,VEGETABLES SALAD,HEAD LETTUCE,24 CT
2674,159857,282,GROCERY,National,VEGETABLES - SHELF STABLE,PEAS GREEN,15 OZ
2677,160776,499,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATO PASTE,6 OZ
2697,165982,69,GROCERY,Private,VEGETABLES - SHELF STABLE,CARROTS,BD 8.25 OZ
2710,169373,2,PRODUCE,National,BROCCOLI/CAULIFLOWER,BROCCOLI WHOLE&CROWNS,39 CT
2712,169517,69,GROCERY,Private,VEGETABLES - SHELF STABLE,PEAS GREEN,8.5 OZ
2714,170178,2,PRODUCE,National,ONIONS,GREEN ONIONS,48 CT
2715,170316,69,GROCERY,Private,VEGETABLES - SHELF STABLE,CORN,8.5 OZ
2720,171301,69,GROCERY,Private,VEGETABLES - SHELF STABLE,CORN,8.5 OZ
2722,171352,69,GROCERY,Private,VEGETABLES - SHELF STABLE,CORN,8.75 OZ
2723,172095,69,GROCERY,Private,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,8 OZ
2728,173003,69,GROCERY,Private,VEGETABLES - SHELF STABLE,MIXED VEGETABLES,8.25 OZ
2730,173274,2,PRODUCE,National,BROCCOLI/CAULIFLOWER,BROCCOLI WHOLE&CROWNS, 
2750,183924,69,PRODUCE,Private,ONIONS,ONIONS WHITE (BULK&BAG),2 LB
2771,192602,5556,PRODUCE,National,VALUE ADDED VEGETABLES,CUT VEGETABLES ALL OTHER,12 OZ
2780,196144,2,PRODUCE,National,ONIONS,ONIONS RED (BULK&BAG),19 LB
2781,196229,2,PRODUCE,National,ONIONS,ONIONS YELLOW (BULK&BAG),32 LB
2782,196355,2,PRODUCE,National,ONIONS,ONIONS WHITE (BULK&BAG),19 LB
2787,197014,2,PRODUCE,National,PEPPERS-ALL,PEPPERS ALL OTHER,11 LB
2790,197525,2,PRODUCE,National,CARROTS,CARROTS - BULK,24 CT
2803,199464,5556,PRODUCE,National,VALUE ADDED VEGETABLES,CUT VEGETABLES ALL OTHER,12 OZ
2804,199579,5556,PRODUCE,National,VALUE ADDED VEGETABLES,BROCCOLI/CAULIFLOWER PROCESSED,12 OZ
2809,200095,2,PRODUCE,National,ONIONS,ONIONS SWEET (BULK&BAG),40 LB
2822,202684,2,PRODUCE,National,ONIONS,ONIONS SWEET (BULK&BAG),40 LB
2823,202930,2,PRODUCE,National,PEPPERS-ALL,PEPPERS JALAPENO,10 LB
2828,204752,407,GROCERY,National,VEGETABLES - SHELF STABLE,POTATOES WHITE,15.25 OZ
2833,206645,69,GROCERY,Private,VEGETABLES - SHELF STABLE,BEETS,15 OZ
2851,210740,5724,GROCERY,National,VEGETABLES - SHELF STABLE,SPINACH & GREENS,27 OZ
2854,211641,5724,GROCERY,National,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,27 OZ
2857,212484,69,GROCERY,Private,VEGETABLES - SHELF STABLE,BEETS,15 OZ
2864,214789,5724,GROCERY,National,VEGETABLES - SHELF STABLE,SPINACH & GREENS,27 OZ
2867,215923,673,PRODUCE,National,VEGETABLES SALAD,HEAD LETTUCE,24 CT
2942,238885,3830,SALAD BAR,National,SALAD BAR,SALAD BAR FRESH FRUIT, 
2944,239435,69,GROCERY,Private,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,28 OZ
2953,243186,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BOXED VEGETABLES - PLAIN,10 OZ
2994,253106,69,PRODUCE,Private,SALAD MIX,REGULAR GARDEN,32 OZ
3040,261584,2274,PRODUCE,National,PEPPERS-ALL,PEPPERS OTHER BELL,3 CT
3071,267471,1837,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATO PUREE & ASPIC,15 OZ
3096,274535,69,PRODUCE,Private,SALAD MIX,REGULAR GARDEN,16 OZ
3108,278100,715,GROCERY,National,VEGETABLES - SHELF STABLE,LIMA BEANS,15.25 OZ
3117,279994,2,SALAD BAR,National,SALAD BAR,SALAD BAR FRESH FRUIT, 
3180,299986,69,PRODUCE,Private,SALAD MIX,COLESLAW,16 OZ
3190,304162,1646,PRODUCE,National,SALAD MIX,GARDEN PLUS,11 OZ
3254,321581,69,GROCERY,Private,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,14.5 OZ
3359,350693,5556,PRODUCE,National,VALUE ADDED VEGETABLES,CUT VEGETABLES ALL OTHER,12 OZ
3404,362488,407,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATO PASTE,12 OZ
3409,363533,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
3426,369846,282,GROCERY,National,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES- VALUE,24 OZ
3462,377253,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
3547,395284,3174,PRODUCE,National,SALAD BAR,SALAD BAR FRESH FRUIT, 
3588,400976,69,GROCERY,Private,VEGETABLES - SHELF STABLE,MISCELLANEOUS VEGETABLES,6 OZ
3611,404136,407,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATO PASTE,6 OZ
3726,418738,69,PRODUCE,Private,ONIONS,ONIONS YELLOW (BULK&BAG),3 LB BAG
3783,428815,69,PRODUCE,Private,VALUE ADDED VEGETABLES,CUT VEGETABLES ALL OTHER,12 OZ
3795,430360,407,GROCERY,National,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,14.5 OZ
3811,433078,673,PRODUCE,National,CARROTS,CARROTS BAGGED,3 LB
3846,438334,69,PRODUCE,Private,CARROTS,CARROTS BAGGED,ALL   1 LB
3906,450372,2,PRODUCE,National,ONIONS,ONIONS RED (BULK&BAG),25 LB
3909,450670,673,PRODUCE,National,CORN,CORN FRESH PACKAGED,4 PK
3918,452027,407,GROCERY,National,VEGETABLES - SHELF STABLE,CORN,14.75 OZ
3928,454619,69,GROCERY,Private,VEGETABLES - SHELF STABLE,BEETS,15 OZ
3933,455940,69,GROCERY,Private,VEGETABLES - SHELF STABLE,CORN,15.25OZ
3941,457610,282,GROCERY,National,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,14.5 OZ
3995,470745,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
4026,475815,69,GROCERY,Private,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,14.5 OZ
4062,480415,529,PRODUCE,National,VEGETABLES SALAD,VARIETY LETTUCE,12 CT
4120,489939,282,GROCERY,National,VEGETABLES - SHELF STABLE,CORN,11 OZ.
4137,492372,282,GROCERY,National,VEGETABLES - SHELF STABLE,CORN,14.75 OZ
4151,494842,69,GROCERY,Private,VEGETABLES - SHELF STABLE,TOMATOES WHOLE,14.5 OZ
4222,506833,69,GROCERY,Private,VEGETABLES - SHELF STABLE,CORN,11 OZ
4242,510389,2,PRODUCE,National,ONIONS,ONIONS YELLOW (BULK&BAG),25 LB
4256,514123,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BOXED VEGETABLES - PLAIN,10OZ
4264,515396,2,PRODUCE,National,ONIONS,ONIONS WHITE (BULK&BAG),20 LB
4276,517115,69,GROCERY,Private,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,28 OZ
4298,522829,69,GROCERY,Private,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,14.5 OZ
4317,525168,2,PRODUCE,National,PEPPERS-ALL,PEPPERS GREEN BELL,48-54 CT
4332,528677,282,GROCERY,National,VEGETABLES - SHELF STABLE,PEAS GREEN,15 OZ
4344,532892,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
4358,535287,1377,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,10 OZ
4412,545219,69,GROCERY,Private,VEGETABLES - SHELF STABLE,MISCELLANEOUS VEGETABLES,6 OZ
4418,546075,282,GROCERY,National,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,14.50 OZ
4427,547960,2,PRODUCE,National,ONIONS,ONIONS YELLOW (BULK&BAG),25 LB
4450,552094,499,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,14.5 OZ
4498,561701,2,PRODUCE,National,ONIONS,ONIONS SWEET (BULK&BAG),40 LB
4507,563013,69,GROCERY,Private,VEGETABLES - SHELF STABLE,ASPARAGUS,15 OZ
4517,564474,673,PRODUCE,National,VEGETABLES SALAD,HEAD LETTUCE,24 CT
4527,565796,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
4576,574838,69,GROCERY,Private,VEGETABLES - SHELF STABLE,TOMATO PASTE,6 OZ
4637,589772,282,GROCERY,National,FRZN VEGETABLE/VEG DSH,FRZN CORN ON THE COB,6 CT
4651,592558,2,PRODUCE,National,ONIONS,ONIONS SWEET (BULK&BAG),40 LB
4657,593219,1633,PRODUCE,National,SALAD MIX,BLENDS,10 OZ
4662,593898,69,GROCERY,Private,VEGETABLES - SHELF STABLE,MUSHROOMS CND & GLASS,8 OZ
4707,602245,69,GROCERY,Private,VEGETABLES - SHELF STABLE,MUSHROOMS CND & GLASS,4.5 OZ
4728,608464,69,GROCERY,Private,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,14.5 OZ
4731,609589,69,GROCERY,Private,VEGETABLES - SHELF STABLE,SPINACH & GREENS,27 OZ
4740,611125,407,GROCERY,National,VEGETABLES - SHELF STABLE,PEAS GREEN,15 OZ
4745,611930,407,GROCERY,National,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,14.5 OZ
4768,615447,499,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATO SAUCE,29 OZ
4770,615822,228,GROCERY,National,VEGETABLES - SHELF STABLE,POTATOES SWEET,29 OZ
4787,619233,69,GROCERY,Private,VEGETABLES - SHELF STABLE,POTATOES SWEET,40 OZ
4792,619953,2,PRODUCE,National,BROCCOLI/CAULIFLOWER,BROCCOLI WHOLE&CROWNS,20 LB
4892,640329,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
4912,643470,282,GROCERY,National,VEGETABLES - SHELF STABLE,CORN,15.25 OZ
4920,645093,2,PRODUCE,National,PEPPERS-ALL,PEPPERS RED BELL,15 LB
4928,646066,499,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATO SAUCE,15 OZ
4946,649542,407,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,14.5 OZ
4947,649843,69,GROCERY,Private,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,28 OZ
4982,656299,2,PRODUCE,National,PEPPERS-ALL,PEPPERS JALAPENO,40 LB
5026,666574,2,PRODUCE,National,VEGETABLES SALAD,HEAD LETTUCE,24 CT
5127,684105,2,PRODUCE,National,ONIONS,ONIONS YELLOW (BULK&BAG),19 LB
5164,691928,69,PRODUCE,Private,CARROTS,CARROTS BAGGED,1 LB
5240,706601,499,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATO PASTE,6 OZ
5336,728420,1633,PRODUCE,National,SALAD MIX,COLESLAW,16 OZ
5339,728660,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN CORN ON THE COB, 
5342,729091,407,GROCERY,National,VEGETABLES - SHELF STABLE,TOMATOES: STEWED/DICED/CRMD,14.5 OZ
5363,732646,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,16 OZ
5392,737175,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH,FRZN BOXED VEGETABLES - PLAIN,10 OZ
