,AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,household_key,GENDER,FAMILY_INFO_EXIST
24,25-34,A,100K+,Homeowner,2 Adults Kids,4,2,58,,True
25,45-54,A,Under 35K,Homeowner,2 Adults Kids,5+,3+,67,,True
26,35-44,A,Under 35K,Homeowner,Single Female,2,None/Unknown,71,Female,True
27,65+,A,Under 35K,Homeowner,2 Adults No Kids,2,None/Unknown,74,,True
28,35-44,A,100K+,Homeowner,2 Adults Kids,5+,3+,77,,True
29,55-64,U,Under 35K,Unknown,Single Male,1,None/Unknown,78,Male,True
30,45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,80,,True
31,25-34,U,35-49K,Unknown,Single Male,1,None/Unknown,85,Male,True
32,65+,B,35-49K,Homeowner,Single Male,1,None/Unknown,86,Male,True
33,45-54,U,75-99K,Unknown,Single Female,1,None/Unknown,97,Female,True
34,35-44,U,35-49K,Unknown,1 Adult Kids,2,1,98,,True
35,45-54,A,Under 35K,Homeowner,2 Adults Kids,4,2,101,,True
36,35-44,A,35-49K,Homeowner,2 Adults Kids,5+,3+,104,,True
37,25-34,B,Under 35K,Homeowner,1 Adult Kids,3,2,105,,True
38,25-34,A,Under 35K,Homeowner,Single Female,2,None/Unknown,109,Female,True
39,25-34,U,35-49K,Homeowner,Single Female,1,None/Unknown,110,Female,True
40,35-44,A,100K+,Homeowner,2 Adults Kids,4,2,113,,True
41,25-34,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,114,,True
42,65+,B,35-49K,Probable Owner,2 Adults No Kids,2,None/Unknown,117,,True
43,45-54,B,35-49K,Homeowner,Single Female,1,None/Unknown,118,Female,True
44,45-54,U,100K+,Unknown,Single Male,1,None/Unknown,119,Male,True
45,45-54,U,Under 35K,Unknown,2 Adults Kids,3,1,121,,True
46,45-54,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,123,,True
47,45-54,U,Under 35K,Unknown,Single Female,1,None/Unknown,127,Female,True
48,45-54,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,131,,True
49,45-54,A,Under 35K,Homeowner,Single Male,2,None/Unknown,133,Male,True
50,55-64,A,Under 35K,Homeowner,Single Female,2,None/Unknown,134,Female,True
51,45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,136,,False
52,35-44,B,75-99K,Homeowner,Single Male,1,None/Unknown,139,Male,True
53,45-54,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,149,,True
54,35-44,B,50-74K,Homeowner,2 Adults Kids,3,1,155,,True
55,19-24,U,Under 35K,Homeowner,2 Adults No Kids,2,None/Unknown,157,,True
56,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,158,,False
57,45-54,U,Under 35K,Homeowner,2 Adults No Kids,2,None/Unknown,159,,True
58,19-24,A,75-99K,Unknown,2 Adults Kids,3,1,161,,True
59,45-54,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,164,,True
60,55-64,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,165,,True
61,25-34,A,50-74K,Homeowner,2 Adults Kids,3,1,166,,True
62,25-34,A,100K+,Homeowner,2 Adults Kids,4,2,170,,True
63,25-34,A,Under 35K,Homeowner,1 Adult Kids,5+,3+,178,,True
64,45-54,U,Under 35K,Unknown,Single Male,1,None/Unknown,184,Male,True
65,45-54,A,35-49K,Homeowner,Single Male,2,None/Unknown,192,Male,True
66,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,193,,True
67,35-44,A,Under 35K,Homeowner,2 Adults Kids,3,1,198,,True
68,45-54,A,Under 35K,Homeowner,2 Adults Kids,5+,3+,201,,True
69,45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,208,,True
70,45-54,U,Under 35K,Homeowner,2 Adults Kids,3,1,209,,True
71,65+,A,35-49K,Homeowner,Single Female,2,None/Unknown,211,Female,True
72,35-44,U,Under 35K,Unknown,Single Female,1,None/Unknown,212,Female,True
73,55-64,B,Under 35K,Homeowner,2 Adults No Kids,2,None/Unknown,214,,True
74,35-44,U,50-74K,Homeowner,Unknown,1,None/Unknown,216,,False
75,45-54,A,Under 35K,Homeowner,2 Adults No Kids,2,None/Unknown,218,,True
76,55-64,A,100K+,Homeowner,2 Adults No Kids,2,None/Unknown,219,,True
77,45-54,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,220,,True
78,65+,U,Under 35K,Unknown,Unknown,1,None/Unknown,221,,False
79,35-44,A,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,222,,True
80,25-34,U,Under 35K,Unknown,Single Female,1,None/Unknown,230,Female,True
81,35-44,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,232,,True
82,35-44,A,100K+,Homeowner,2 Adults Kids,5+,3+,235,,True
83,45-54,U,50-74K,Renter,Unknown,1,None/Unknown,239,,False
84,45-54,A,75-99K,Homeowner,2 Adults Kids,5+,3+,242,,True
85,65+,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,243,,True
86,35-44,A,100K+,Homeowner,2 Adults Kids,4,2,248,,True
87,35-44,A,Under 35K,Renter,Unknown,3,1,249,,True
88,45-54,A,75-99K,Homeowner,1 Adult Kids,4,2,250,,True
89,45-54,U,Under 35K,Unknown,Single Female,1,None/Unknown,253,Female,True
90,25-34,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,256,,True
91,25-34,U,Under 35K,Unknown,1 Adult Kids,3,2,257,,True
92,45-54,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,263,,True
93,45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,264,,True
94,35-44,U,35-49K,Unknown,Single Male,1,None/Unknown,276,Male,True
95,35-44,B,50-74K,Homeowner,Single Female,1,None/Unknown,281,Female,True
96,45-54,U,35-49K,Unknown,Single Female,1,None/Unknown,282,Female,True
97,25-34,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,283,,True
98,45-54,B,100K+,Homeowner,Single Male,1,None/Unknown,289,Male,True
99,25-34,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,290,,True
100,25-34,A,50-74K,Homeowner,2 Adults Kids,4,2,294,,True
101,55-64,A,Under 35K,Unknown,Single Female,2,None/Unknown,300,Female,True
102,35-44,A,35-49K,Homeowner,2 Adults Kids,4,2,301,,True
103,45-54,U,35-49K,Homeowner,2 Adults Kids,3,1,302,,True
104,25-34,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,304,,True
105,19-24,U,35-49K,Homeowner,2 Adults Kids,4,2,306,,True
106,25-34,A,75-99K,Homeowner,Single Male,2,None/Unknown,309,Male,True
107,45-54,U,75-99K,Homeowner,2 Adults Kids,3,1,314,,True
108,45-54,A,75-99K,Homeowner,Single Male,2,None/Unknown,317,Male,True
109,45-54,U,35-49K,Homeowner,1 Adult Kids,4,3+,319,,True
110,45-54,A,100K+,Homeowner,2 Adults No Kids,2,None/Unknown,321,,True
111,45-54,U,50-74K,Unknown,Single Female,1,None/Unknown,324,Female,True
112,35-44,A,75-99K,Homeowner,2 Adults Kids,4,2,325,,True
113,25-34,U,75-99K,Unknown,Single Female,1,None/Unknown,329,Female,True
114,35-44,A,100K+,Homeowner,2 Adults Kids,5+,3+,332,,True
115,45-54,A,Under 35K,Homeowner,2 Adults No Kids,2,None/Unknown,334,,True
116,65+,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,346,,True
117,45-54,A,50-74K,Homeowner,1 Adult Kids,4,2,350,,True
118,45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,351,,False
119,45-54,A,100K+,Homeowner,2 Adults No Kids,2,None/Unknown,353,,True
120,25-34,A,35-49K,Homeowner,2 Adults Kids,5+,3+,354,,True
121,35-44,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,358,,True
122,45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,361,,False
123,65+,U,50-74K,Unknown,Single Male,1,None/Unknown,362,Male,True
124,55-64,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,367,,True
125,65+,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,370,,True
126,35-44,A,75-99K,Homeowner,2 Adults Kids,3,1,371,,True
127,45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,377,,True
128,55-64,A,50-74K,Homeowner,Single Female,2,None/Unknown,378,Female,True
129,25-34,B,35-49K,Homeowner,1 Adult Kids,2,1,381,,True
130,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,383,,False
131,25-34,A,50-74K,Homeowner,2 Adults Kids,5+,3+,385,,True
132,35-44,B,Under 35K,Probable Owner,Single Female,1,None/Unknown,386,Female,True
133,25-34,B,50-74K,Homeowner,Single Female,1,None/Unknown,387,Female,True
134,35-44,U,100K+,Probable Owner,Single Female,1,None/Unknown,389,Female,True
135,45-54,B,Under 35K,Renter,Single Female,1,None/Unknown,390,Female,True
136,65+,B,Under 35K,Unknown,Single Female,1,None/Unknown,391,Female,True
137,35-44,A,100K+,Homeowner,2 Adults Kids,3,1,392,,True
138,35-44,U,Under 35K,Unknown,Single Male,1,None/Unknown,395,Male,True
139,35-44,A,100K+,Homeowner,2 Adults Kids,3,1,400,,True
140,25-34,A,Under 35K,Unknown,Unknown,2,None/Unknown,404,,False
141,19-24,B,Under 35K,Homeowner,2 Adults No Kids,2,None/Unknown,409,,True
142,55-64,A,35-49K,Homeowner,2 Adults Kids,5+,3+,410,,True
143,35-44,U,Under 35K,Unknown,2 Adults No Kids,2,None/Unknown,411,,True
144,65+,A,Under 35K,Homeowner,Single Female,2,None/Unknown,412,Female,True
145,45-54,U,100K+,Unknown,Unknown,1,None/Unknown,413,,False
146,45-54,A,35-49K,Unknown,Single Female,2,None/Unknown,417,Female,True
147,35-44,U,35-49K,Unknown,2 Adults Kids,3,1,418,,True
148,45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,426,,True
149,19-24,U,50-74K,Probable Owner,2 Adults No Kids,2,None/Unknown,428,,True
150,19-24,U,Under 35K,Unknown,Single Female,1,None/Unknown,432,Female,True
151,35-44,A,Under 35K,Homeowner,2 Adults Kids,3,1,434,,True
152,25-34,A,50-74K,Homeowner,2 Adults Kids,5+,3+,437,,True
153,35-44,A,50-74K,Probable Owner,2 Adults No Kids,2,None/Unknown,438,,True
154,45-54,B,50-74K,Homeowner,Single Female,1,None/Unknown,441,Female,True
155,25-34,U,Under 35K,Unknown,1 Adult Kids,2,1,442,,True
156,45-54,A,Under 35K,Homeowner,2 Adults No Kids,2,None/Unknown,443,,True
157,25-34,B,Under 35K,Renter,2 Adults No Kids,2,None/Unknown,451,,True
158,55-64,U,35-49K,Unknown,Single Male,1,None/Unknown,454,Male,True
159,19-24,B,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,456,,True
160,55-64,A,35-49K,Homeowner,Single Female,2,None/Unknown,458,Female,True
161,65+,B,Under 35K,Homeowner,Single Female,1,None/Unknown,460,Female,True
162,65+,U,100K+,Unknown,Single Male,1,None/Unknown,462,Male,True
163,65+,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,464,,True
164,45-54,U,75-99K,Probable Owner,Single Female,1,None/Unknown,469,Female,True
165,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,473,,False
166,45-54,U,35-49K,Unknown,Single Female,1,None/Unknown,483,Female,True
167,25-34,U,Under 35K,Unknown,2 Adults No Kids,2,None/Unknown,484,,True
168,35-44,U,Under 35K,Homeowner,Single Male,1,None/Unknown,485,Male,True
169,55-64,U,100K+,Unknown,Single Female,1,None/Unknown,489,Female,True
170,35-44,A,75-99K,Homeowner,2 Adults Kids,5+,3+,490,,True
171,45-54,A,75-99K,Unknown,Single Female,2,None/Unknown,491,Female,True
172,45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,492,,True
173,55-64,U,50-74K,Unknown,Unknown,1,None/Unknown,493,,False
174,35-44,A,100K+,Homeowner,2 Adults Kids,3,1,510,,True
175,45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,513,,True
176,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,518,,True
177,65+,B,35-49K,Homeowner,Single Male,1,None/Unknown,523,Male,True
178,45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,526,,False
179,45-54,U,50-74K,Homeowner,Single Female,1,None/Unknown,527,Female,True
180,45-54,U,35-49K,Unknown,Single Male,1,None/Unknown,534,Male,True
181,25-34,B,50-74K,Homeowner,Single Female,1,None/Unknown,540,Female,True
182,25-34,U,35-49K,Unknown,Single Female,1,None/Unknown,542,Female,True
183,35-44,A,35-49K,Probable Owner,1 Adult Kids,3,1,543,,True
184,45-54,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,546,,True
185,35-44,B,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,548,,True
186,45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,553,,True
187,19-24,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown,560,,True
188,19-24,U,Under 35K,Unknown,Single Male,1,None/Unknown,567,Male,True
189,35-44,A,100K+,Homeowner,2 Adults Kids,3,1,569,,True
190,35-44,A,75-99K,Homeowner,2 Adults Kids,3,1,574,,True
191,35-44,U,50-74K,Unknown,Single Female,1,None/Unknown,575,Female,True
192,55-64,A,35-49K,Homeowner,Single Male,2,None/Unknown,576,Male,True
193,25-34,U,50-74K,Unknown,Single Male,1,None/Unknown,578,Male,True
194,45-54,A,100K+,Homeowner,Unknown,3,1,582,,True
195,35-44,B,Under 35K,Unknown,Single Female,1,None/Unknown,583,Female,True
196,19-24,A,35-49K,Renter,2 Adults Kids,3,1,586,,True
197,35-44,A,50-74K,Homeowner,2 Adults Kids,5+,3+,588,,True
198,35-44,U,35-49K,Unknown,Single Male,1,None/Unknown,593,Male,True
199,25-34,U,35-49K,Unknown,2 Adults Kids,3,1,595,,True
200,45-54,A,Under 35K,Homeowner,1 Adult Kids,3,1,596,,True
201,19-24,U,Under 35K,Unknown,1 Adult Kids,2,1,597,,True
202,35-44,B,Under 35K,Unknown,Single Female,1,None/Unknown,598,Female,True
203,35-44,A,100K+,Homeowner,2 Adults Kids,4,2,601,,True
204,25-34,A,75-99K,Homeowner,2 Adults Kids,4,2,605,,True
205,45-54,U,35-49K,Probable Renter,Unknown,1,None/Unknown,606,,False
206,45-54,U,100K+,Unknown,Unknown,1,None/Unknown,607,,False
207,25-34,B,Under 35K,Renter,1 Adult Kids,5+,3+,608,,True
208,45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,609,,False
209,35-44,A,Under 35K,Unknown,2 Adults Kids,4,2,614,,True
210,45-54,U,35-49K,Unknown,Single Male,1,None/Unknown,621,Male,True
211,35-44,U,Under 35K,Unknown,Single Female,1,None/Unknown,622,Female,True
212,45-54,A,35-49K,Homeowner,2 Adults Kids,3,1,623,,True
213,45-54,U,50-74K,Unknown,Unknown,1,None/Unknown,624,,False
214,35-44,A,35-49K,Homeowner,2 Adults Kids,3,1,630,,True
215,65+,A,100K+,Homeowner,2 Adults Kids,3,1,631,,True
216,65+,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,644,,True
217,35-44,A,50-74K,Renter,2 Adults Kids,4,2,647,,True
218,55-64,A,50-74K,Homeowner,Unknown,2,None/Unknown,660,,False
219,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,661,,False
220,55-64,A,35-49K,Unknown,2 Adults Kids,3,1,670,,True
221,35-44,U,35-49K,Homeowner,Single Female,1,None/Unknown,671,Female,True
222,35-44,U,Under 35K,Unknown,2 Adults No Kids,2,None/Unknown,672,,True
223,35-44,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,675,,True
224,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,680,,False
225,65+,A,100K+,Homeowner,2 Adults No Kids,2,None/Unknown,682,,True
226,35-44,A,Under 35K,Unknown,Single Female,2,None/Unknown,685,Female,True
227,35-44,A,100K+,Homeowner,2 Adults Kids,3,1,688,,True
228,65+,B,Under 35K,Homeowner,Single Female,1,None/Unknown,690,Female,True
229,65+,U,35-49K,Homeowner,Single Female,1,None/Unknown,692,Female,True
230,45-54,U,Under 35K,Unknown,2 Adults No Kids,2,None/Unknown,693,,True
231,35-44,B,35-49K,Unknown,1 Adult Kids,3,2,695,,True
232,35-44,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,696,,True
233,45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,699,,True
234,45-54,B,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,706,,True
235,25-34,A,100K+,Homeowner,2 Adults Kids,5+,3+,707,,True
236,35-44,A,100K+,Homeowner,2 Adults Kids,4,2,708,,True
237,65+,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,712,,True
238,55-64,U,Under 35K,Unknown,2 Adults Kids,3,1,714,,True
239,55-64,A,Under 35K,Homeowner,2 Adults No Kids,2,None/Unknown,715,,True
240,45-54,A,75-99K,Homeowner,2 Adults Kids,5+,3+,716,,True
241,45-54,A,Under 35K,Homeowner,2 Adults Kids,5+,3+,718,,True
242,35-44,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,722,,True
243,45-54,U,Under 35K,Unknown,Single Female,1,None/Unknown,725,Female,True
244,45-54,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,731,,True
245,55-64,A,75-99K,Homeowner,2 Adults Kids,4,2,732,,True
246,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,733,,True
247,45-54,A,100K+,Homeowner,Single Female,2,None/Unknown,740,Female,True
248,65+,U,50-74K,Homeowner,2 Adults Kids,3,1,741,,True
249,35-44,A,Under 35K,Renter,1 Adult Kids,4,2,742,,True
250,45-54,B,Under 35K,Homeowner,2 Adults Kids,3,1,748,,True
251,35-44,A,75-99K,Renter,Single Female,2,None/Unknown,752,Female,True
252,45-54,A,75-99K,Homeowner,2 Adults Kids,4,2,753,,True
253,35-44,U,50-74K,Homeowner,Unknown,1,None/Unknown,755,,False
254,25-34,A,100K+,Homeowner,1 Adult Kids,5+,3+,761,,True
255,35-44,A,100K+,Renter,Single Female,2,None/Unknown,762,Female,True
256,35-44,A,50-74K,Homeowner,2 Adults Kids,5+,3+,764,,True
257,45-54,A,100K+,Homeowner,2 Adults No Kids,2,None/Unknown,766,,True
258,35-44,A,50-74K,Renter,Single Female,2,None/Unknown,768,Female,True
259,25-34,A,50-74K,Homeowner,2 Adults Kids,5+,3+,770,,True
260,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,771,,False
261,65+,U,100K+,Homeowner,2 Adults Kids,3,1,779,,True
262,45-54,A,100K+,Homeowner,Single Female,2,None/Unknown,784,Female,True
263,65+,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,785,,True
264,19-24,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,786,,True
265,25-34,B,Under 35K,Homeowner,Single Male,1,None/Unknown,787,Male,True
266,25-34,U,Under 35K,Unknown,1 Adult Kids,2,1,788,,True
267,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,790,,False
268,25-34,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,797,,True
269,25-34,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,800,,True
270,65+,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,802,,True
271,25-34,U,75-99K,Unknown,2 Adults No Kids,2,None/Unknown,803,,True
272,35-44,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,806,,True
273,45-54,U,75-99K,Homeowner,2 Adults Kids,3,1,808,,True
274,25-34,U,50-74K,Unknown,Single Female,1,None/Unknown,816,Female,True
275,35-44,A,100K+,Homeowner,2 Adults Kids,3,1,817,,True
276,35-44,A,50-74K,Homeowner,2 Adults Kids,3,1,823,,True
277,45-54,A,100K+,Homeowner,2 Adults No Kids,2,None/Unknown,825,,True
278,45-54,B,50-74K,Homeowner,1 Adult Kids,3,2,831,,True
279,35-44,A,75-99K,Homeowner,2 Adults Kids,5+,3+,840,,True
280,45-54,A,100K+,Homeowner,2 Adults No Kids,2,None/Unknown,844,,True
281,19-24,B,50-74K,Homeowner,Single Female,1,None/Unknown,845,Female,True
282,25-34,U,35-49K,Unknown,2 Adults Kids,4,2,852,,True
283,25-34,B,100K+,Unknown,Single Female,1,None/Unknown,853,Female,True
284,55-64,B,35-49K,Homeowner,Single Female,1,None/Unknown,856,Female,True
285,65+,A,35-49K,Homeowner,1 Adult Kids,3,1,857,,True
286,25-34,U,50-74K,Unknown,Single Female,1,None/Unknown,859,Female,True
287,45-54,U,Under 35K,Unknown,Unknown,1,None/Unknown,863,,False
288,35-44,U,Under 35K,Homeowner,Single Female,1,None/Unknown,864,Female,True
289,35-44,A,75-99K,Homeowner,2 Adults Kids,5+,3+,865,,True
290,45-54,U,Under 35K,Unknown,1 Adult Kids,2,1,866,,True
291,45-54,U,75-99K,Homeowner,Unknown,1,None/Unknown,867,,False
292,65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,868,,True
293,35-44,A,100K+,Homeowner,2 Adults Kids,3,1,871,,True
294,25-34,U,Under 35K,Unknown,2 Adults Kids,3,1,875,,True
295,25-34,U,35-49K,Unknown,1 Adult Kids,3,2,878,,True
296,35-44,B,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,879,,True
297,45-54,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown,882,,True
298,35-44,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,883,,True
299,35-44,A,100K+,Homeowner,2 Adults No Kids,2,None/Unknown,886,,True
300,25-34,U,100K+,Homeowner,2 Adults Kids,3,1,888,,True
301,25-34,A,50-74K,Homeowner,2 Adults Kids,4,2,889,,True
302,45-54,U,100K+,Unknown,Single Male,1,None/Unknown,895,Male,True
303,55-64,A,100K+,Homeowner,2 Adults No Kids,2,None/Unknown,898,,True
304,35-44,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown,900,,True
305,35-44,U,35-49K,Unknown,Single Male,1,None/Unknown,903,Male,True
306,55-64,A,Under 35K,Homeowner,Single Female,2,None/Unknown,906,Female,True
307,45-54,A,100K+,Probable Owner,2 Adults Kids,3,1,908,,True
308,25-34,A,100K+,Homeowner,2 Adults No Kids,2,None/Unknown,911,,True
309,45-54,B,Under 35K,Homeowner,2 Adults No Kids,2,None/Unknown,914,,True
310,45-54,U,Under 35K,Unknown,Single Female,1,None/Unknown,915,Female,True
311,45-54,A,35-49K,Homeowner,2 Adults Kids,5+,3+,920,,True
312,45-54,U,35-49K,Unknown,Unknown,1,None/Unknown,922,,False
313,35-44,U,Under 35K,Homeowner,2 Adults No Kids,2,None/Unknown,926,,True
314,45-54,B,Under 35K,Renter,1 Adult Kids,2,1,929,,True
315,19-24,U,Under 35K,Unknown,2 Adults No Kids,2,None/Unknown,932,,True
316,45-54,U,Under 35K,Unknown,Single Female,1,None/Unknown,934,Female,True
317,45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown,939,,True
318,19-24,A,100K+,Unknown,2 Adults No Kids,2,None/Unknown,941,,True
319,19-24,U,Under 35K,Unknown,Single Female,1,None/Unknown,946,Female,True
320,65+,B,35-49K,Homeowner,Single Male,1,None/Unknown,947,Male,True
321,25-34,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,949,,True
322,19-24,U,Under 35K,Unknown,Single Female,1,None/Unknown,955,Female,True
323,45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown,956,,True
324,35-44,A,100K+,Homeowner,2 Adults Kids,5+,3+,960,,True
325,35-44,B,35-49K,Renter,1 Adult Kids,2,1,968,,True
326,25-34,A,35-49K,Homeowner,2 Adults Kids,3,1,971,,True
327,35-44,A,50-74K,Homeowner,2 Adults Kids,4,2,973,,True
328,25-34,A,100K+,Homeowner,2 Adults Kids,5+,3+,976,,True
329,35-44,B,35-49K,Homeowner,1 Adult Kids,2,1,979,,True
330,45-54,A,Under 35K,Homeowner,Single Female,2,None/Unknown,981,Female,True
331,45-54,U,35-49K,Unknown,2 Adults Kids,4,2,982,,True
332,45-54,A,35-49K,Homeowner,2 Adults Kids,3,1,983,,True
333,25-34,U,35-49K,Unknown,Single Male,1,None/Unknown,986,Male,True
334,45-54,A,35-49K,Homeowner,2 Adults Kids,3,1,992,,True
335,55-64,A,50-74K,Homeowner,1 Adult Kids,5+,3+,993,,True
336,55-64,A,Under 35K,Homeowner,2 Adults No Kids,2,None/Unknown,996,,True
337,45-54,U,75-99K,Homeowner,Single Male,1,None/Unknown,997,Male,True
338,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,1001,,False
339,35-44,U,Under 35K,Unknown,Single Female,1,None/Unknown,1003,Female,True
340,25-34,U,Under 35K,Unknown,Single Male,1,None/Unknown,1004,Male,True
341,35-44,A,35-49K,Unknown,Unknown,5+,3+,1012,,True
342,45-54,A,Under 35K,Unknown,2 Adults Kids,4,2,1014,,True
343,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown,1015,,False
344,45-54,A,35-49K,Homeowner,2 Adults Kids,5+,3+,1018,,True
345,45-54,A,Under 35K,Homeowner,2 Adults No Kids,2,None/Unknown,1020,,True
346,35-44,A,50-74K,Homeowner,2 Adults Kids,5+,3+,1021,,True
