,PRODUCT_ID,MANUFACTURER,DEPARTMENT,BRAND,COMMODITY_DESC,SUB_COMMODITY_DESC,CURR_SIZE_OF_PRODUCT,MEAT_TYPE
1666,88350,1094,MEAT-PCKGD,National,HOT DOGS,PREMIUM - MEAT,1 LB,UNKNOWN
1671,88769,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,FRZN GRILLED PORTIONS,7.6 OZ.,SEAFOOD
1687,89409,1493,MEAT-PCKGD,National,DINNER SAUSAGE,FRESH,1 LB,PORK
1705,90146,1094,MEAT-PCKGD,National,LUNCHMEAT,LUNCH COMBO,11.35 OZ,UNKNOWN
1707,90172,1087,SEAFOOD-PCKGD,National,SEAFOOD - FROZEN,FRZN BRD STICK/PORTON,24.5 OZ,SEAFOOD
1713,90283,781,GROCERY,National,MEAT - SHELF STABLE,MICROWAVABLE CUPS,7.5 OZ,UNKNOWN
1717,90348,1089,MEAT-PCKGD,National,LUNCHMEAT,HAM,5 OZ,PORK
1723,90549,69,MEAT-PCKGD,Private,FROZEN MEAT,FRZN BREADED PREPARED CHICK,12 OZ,POULTRY
1734,90887,1094,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,8 OZ,UNKNOWN
1737,90965,1094,MEAT-PCKGD,National,LUNCHMEAT,LUNCH COMBO,4.5 OZ,UNKNOWN
1753,91724,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,SEAFOOD-FRZ-BRD SHRIMP,12 OZ,SEAFOOD
1762,92048,1230,MEAT-PCKGD,National,LUNCHMEAT,POULTRY,6 OZ,POULTRY
1769,92195,1094,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,8 OZ,UNKNOWN
1771,92266,1094,MEAT-PCKGD,National,LUNCHMEAT,LUNCH COMBO,4.5 OZ,UNKNOWN
1772,92317,1087,SEAFOOD-PCKGD,National,SEAFOOD - FROZEN,FRZN BRD STICK/PORTON,19 OZ,SEAFOOD
1802,93289,1094,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,8 OZ,UNKNOWN
1807,93369,1858,DELI,National,DELI MEATS,MEAT: PATES/MOUSSE,8 OZ,UNKNOWN
1844,94977,1094,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,1 LB,UNKNOWN
1852,95564,1107,MEAT-PCKGD,National,LUNCHMEAT,POULTRY,10 OZ.,POULTRY
1860,96034,1107,MEAT-PCKGD,National,LUNCHMEAT,POULTRY,10 OZ,POULTRY
1898,97294,1089,MEAT-PCKGD,National,LUNCHMEAT,MISCELLANEOUS,5 OZ,UNKNOWN
1910,97730,1089,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED,16 OZ,PORK
1920,98133,1087,SEAFOOD-PCKGD,National,SEAFOOD - FROZEN,FRZN GRILLED PORTIONS,6.3 OZ,SEAFOOD
1923,98290,1138,MEAT-PCKGD,National,LUNCHMEAT,LUNCH COMBO,10.6 OZ,UNKNOWN
1946,99159,1094,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,12 OZ,UNKNOWN
1949,99264,1138,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED,16 OZ,PORK
1956,99737,1107,MEAT-PCKGD,National,LUNCHMEAT,POULTRY,10 OZ,POULTRY
1961,99913,1089,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED,16 OZ,PORK
1967,100208,1089,MEAT-PCKGD,National,LUNCHMEAT,HAM,5 OZ,PORK
1970,100378,69,MEAT-PCKGD,Private,DINNER SAUSAGE,FRESH,16 OZ,PORK
1971,100384,1094,MEAT-PCKGD,National,LUNCHMEAT,HAM,6 OZ,PORK
1980,100662,1094,MEAT-PCKGD,National,LUNCHMEAT,LUNCH COMBO,4.5 OZ,UNKNOWN
2018,101999,1087,SEAFOOD-PCKGD,National,SEAFOOD - FROZEN,FRZN BRD STICK/PORTON,7.6 OZ,SEAFOOD
2023,102296,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN,FRZN GRILLED PORTIONS,7.6 OZ.,SEAFOOD
2054,103812,1089,MEAT-PCKGD,National,LUNCHMEAT,POULTRY,5 OZ,POULTRY
2061,104179,1094,MEAT-PCKGD,National,LUNCHMEAT,LOAVE,8 OZ,UNKNOWN
2120,106822,1138,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED,16 OZ,PORK
2138,107381,1138,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED,16 OZ,PORK
2165,108889,69,MEAT-PCKGD,Private,LUNCHMEAT,POULTRY,1 LB,POULTRY
2174,109768,1230,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED,14 OZ,PORK
2183,110198,781,GROCERY,National,MEAT - SHELF STABLE,LUNCHEON MEAT,12 OZ,UNKNOWN
2184,110217,397,GROCERY,National,FROZEN CHICKEN,FRZN BREADED PREPARED CHICK,4 LB,POULTRY
2189,110605,2065,MEAT-PCKGD,National,HEAT/SERVE,CHICKEN-FULLY COOKED,15.85 OZ,POULTRY
2193,110873,69,MEAT-PCKGD,Private,LUNCHMEAT,POULTRY,2.5 OZ,POULTRY
2198,111259,1764,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,1 LB,PORK
2199,111297,1138,MEAT-PCKGD,National,LUNCHMEAT,LUNCH COMBO,3.3 OZ,UNKNOWN
2204,111551,2326,GROCERY,National,SEAFOOD - SHELF STABLE,TUNA,12 OZ,SEAFOOD
2205,111584,1094,MEAT-PCKGD,National,LUNCHMEAT,LUNCH COMBO,10.55 OZ,UNKNOWN
2210,111782,781,MEAT-PCKGD,National,LUNCHMEAT,PEPPERONI/SALAMI,8 OZ,PORK
2236,113109,69,MEAT-PCKGD,Private,LUNCHMEAT,HAM,2.5 OZ,PORK
2239,113398,318,MEAT,National,SMOKED MEATS,HAMS-DRY CURED/COUNTRY,12 OZ,PORK
2241,113512,1089,MEAT-PCKGD,National,LUNCHMEAT,MISCELLANEOUS,5 OZ,UNKNOWN
2242,113560,69,MEAT-PCKGD,Private,LUNCHMEAT,HAM,1 LB,PORK
2252,114331,69,MEAT-PCKGD,Private,LUNCHMEAT,POULTRY,1 LB,POULTRY
2261,114442,1094,MEAT-PCKGD,National,LUNCHMEAT,LUNCH COMBO,11.55 OZ,UNKNOWN
2283,116219,69,MEAT-PCKGD,Private,LUNCHMEAT,POULTRY,1 LB,POULTRY
2286,116385,781,GROCERY,National,MEAT - SHELF STABLE,CHUNK MEATS - ALL,5 OZ,UNKNOWN
2294,116917,2326,GROCERY,National,SEAFOOD - SHELF STABLE,TUNA,4.1 OZ,SEAFOOD
2297,116994,1094,MEAT-PCKGD,National,BACON,PREMIUM,1 LB,PORK
2301,117155,1107,MEAT-PCKGD,National,BACON,BETTER FOR YOU,12 OZ,PORK
2306,117410,1719,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,16 OZ,UNKNOWN
2329,118680,1094,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,16 OZ,UNKNOWN
2330,118681,1094,MEAT-PCKGD,National,LUNCHMEAT,HAM,12 OZ,PORK
2337,119064,69,MEAT-PCKGD,Private,BACON,PREMIUM,16 OZ,PORK
2343,119247,69,MEAT-PCKGD,Private,LUNCHMEAT,POULTRY,1 LB,POULTRY
2358,120032,1094,MEAT-PCKGD,National,LUNCHMEAT,LUNCH COMBO,10.55 OZ,UNKNOWN
2364,120578,781,GROCERY,National,MEAT - SHELF STABLE,LUNCHEON MEAT,12 OZ,UNKNOWN
2382,121623,69,MEAT-PCKGD,Private,LUNCHMEAT,HAM,1 LB,PORK
2383,121683,1230,MEAT-PCKGD,National,FROZEN MEAT,FRZN BURGERS/BBQ/MEATBALL,16 OZ,UNKNOWN
2384,121715,1094,MEAT-PCKGD,National,LUNCHMEAT,LUNCH COMBO,12.45 OZ,UNKNOWN
2386,121725,1719,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - FLAVORED/OTHER,16 OZ,PORK
2436,124725,1094,MEAT-PCKGD,National,LUNCHMEAT,LUNCH COMBO,11.56 OZ,UNKNOWN
2455,126495,1094,MEAT-PCKGD,National,LUNCHMEAT,LUNCH COMBO,10.55 OZ,UNKNOWN
2477,128123,2209,MEAT-PCKGD,National,DINNER SAUSAGE,FRESH,19.76 OZ,PORK
2478,128170,2063,MEAT,National,SMOKED MEATS,HAMS-DRY CURED/COUNTRY,12 OZ,PORK
2487,129005,1548,MEAT-PCKGD,National,BACON,ECONOMY,1 LB,PORK
2496,129802,2326,GROCERY,National,SEAFOOD - SHELF STABLE,TUNA,5.0 OZ,SEAFOOD
2502,130428,1066,MEAT-PCKGD,National,BACON,ECONOMY,16 OZ,PORK
2506,130708,3730,DELI,National,DELI MEATS,MEAT: TURKEY BULK, ,POULTRY
2508,130869,2209,MEAT-PCKGD,National,DINNER SAUSAGE,FRESH,19.76 OZ,PORK
2511,131099,1238,MEAT-PCKGD,National,DINNER SAUSAGE,SMOKED/COOKED,16 OZ,PORK
2512,131312,1094,MEAT-PCKGD,National,LUNCHMEAT,LUNCH COMBO,8.5 OZ,UNKNOWN
2519,131847,1094,MEAT-PCKGD,National,BACON,PRE-COOKED,2.1 OZ,PORK
2521,132054,1094,MEAT-PCKGD,National,HOT DOGS,PREMIUM - BEEF,1 LB,BOVINE
2522,132074,781,GROCERY,National,MEAT - SHELF STABLE,LUNCHEON MEAT,12 OZ,UNKNOWN
2544,134309,1087,SEAFOOD-PCKGD,National,SEAFOOD - FROZEN,FRZN BRD STICK/PORTON,7.6 OZ,SEAFOOD
2556,136182,1138,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,1 LB,UNKNOWN
2560,136754,69,MEAT-PCKGD,Private,FROZEN MEAT,FRZN BREADED PREPARED CHICK,12 OZ,POULTRY
2563,137409,1094,MEAT-PCKGD,National,LUNCHMEAT,LUNCH COMBO,11.55 OZ,UNKNOWN
2572,137694,2515,GROCERY,National,SEAFOOD - SHELF STABLE,TUNA,ALL   6 OZ,SEAFOOD
2580,140226,2092,MEAT-PCKGD,National,BACON,ECONOMY,12 OZ,PORK
2589,142450,3726,DELI,National,DELI MEATS,MEAT:HAM BULK, ,PORK
2593,142791,3741,DELI,National,DELI MEATS,MEAT: BEEF BULK, ,BOVINE
2614,145736,1238,MEAT,National,SMOKED MEATS,PORK-FULLY COOKED,8 OZ,PORK
2616,145834,4089,DELI,National,DELI MEATS,MEAT: TURKEY BULK, ,POULTRY
2631,149348,3739,DELI,National,DELI MEATS,MEAT: TURKEY BULK, ,POULTRY
2634,149919,2092,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,PATTIES - RAW,10 OZ,PORK
2642,151810,3732,DELI,National,DELI MEATS,MEAT: TURKEY BULK, ,POULTRY
2649,153304,3862,DELI,National,DELI MEATS,MEAT: LUNCHMEAT BULK, ,UNKNOWN
2651,153917,1089,MEAT-PCKGD,National,HOT DOGS,PREMIUM - MEAT,16 OZ,UNKNOWN
2663,157747,397,MEAT-PCKGD,National,FROZEN MEAT,FRZN BREADED PREPARED CHICK,20 OZ,POULTRY
2679,161354,4320,MEAT,National,CHICKEN,CHICKEN DRUMS, ,POULTRY
2684,163381,741,MEAT-PCKGD,National,HOT DOGS,ECONOMY - MEAT,1 LB,UNKNOWN
2686,163906,1178,GROCERY,National,SEAFOOD - SHELF STABLE,TUNA,ALL   6 OZ,SEAFOOD
2699,167157,3731,DELI,National,DELI MEATS,MEAT: TURKEY BULK, ,POULTRY
2718,171100,3375,SEAFOOD,National,SEAFOOD-FRESH,SEAFOOD-FRE-LIVE SHLFSH-OTHER, ,SEAFOOD
2743,178274,2929,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
2744,179656,4496,DELI,National,DELI MEATS,MEAT: TURKEY BULK, ,POULTRY
2761,190064,2854,MEAT,National,BEEF,PRIMAL, ,BOVINE
2770,192595,5446,MEAT,National,BEEF,EXTERNAL, ,BOVINE
2795,197912,2311,MEAT-PCKGD,National,BACON,ECONOMY,48 OZ,PORK
2801,198799,5226,MEAT-PCKGD,National,HOT DOGS,PREMIUM - MEAT,16 OZ,UNKNOWN
2834,207062,4471,DELI,National,DELI MEATS,MEAT:HAM BULK, ,PORK
2841,208463,4595,MEAT,National,PORK,DRY, ,PORK
2844,209064,3439,MEAT,National,PORK,BUTTS, ,PORK
2848,209999,3665,MEAT,National,BEEF,PRIMAL, ,BOVINE
2852,210903,3441,MEAT,National,PORK,BUTTS, ,PORK
2853,211144,4084,DELI,National,DELI MEATS,MEAT: TURKEY BULK, ,POULTRY
2856,212350,2822,MEAT,National,BEEF,SELECT BEEF, ,BOVINE
2866,215256,2806,MEAT,National,BEEF,SELECT BEEF, ,BOVINE
2884,219940,2832,MEAT,National,BEEF,NATURAL BEEF, ,BOVINE
2886,220110,2807,MEAT,National,BEEF,SELECT BEEF, ,BOVINE
2893,222584,2811,MEAT,National,BEEF,SELECT BEEF, ,BOVINE
2895,223027,397,MEAT-PCKGD,National,LUNCHMEAT,POULTRY,5.5 OZ,POULTRY
2896,223247,69,DELI,Private,CHICKEN/POULTRY,CHIX: ROTISSERIE (HOT), ,POULTRY
2898,224106,4272,MEAT,National,TURKEY,WHOLE HENS (UNDER 15LBS), ,POULTRY
2904,226111,5267,SEAFOOD-PCKGD,National,SEAFOOD - FROZEN,SEAFOOD-FRZ-RAW FILLETS,2 LB,SEAFOOD
2910,229094,191,MEAT-PCKGD,National,LUNCHMEAT,HAM,32 OZ,PORK
2915,230051,741,MEAT-PCKGD,National,LUNCHMEAT,HAM,6 OZ,PORK
2918,230641,1548,MEAT-PCKGD,National,BACON,ECONOMY, ,PORK
2927,233160,191,MEAT-PCKGD,National,BACON,ECONOMY,1 LB,PORK
2936,235801,69,DELI,Private,CHICKEN/POULTRY,CHIX:FRD 8PC/CUT UP (HOT), ,POULTRY
2938,236073,69,DELI,Private,CHICKEN/POULTRY,CHIX: ROTISSERIE (HOT), ,POULTRY
2950,241227,69,MEAT-PCKGD,Private,LUNCHMEAT,HAM,16 OZ,PORK
2952,242286,4298,MEAT,National,CHICKEN,CHICKEN BREAST BONE IN, ,POULTRY
2964,247734,3723,DELI,National,DELI MEATS,MEAT:HAM BULK, ,PORK
2966,247881,1066,MEAT-PCKGD,National,LUNCHMEAT,POULTRY,16 OZ,POULTRY
2983,251127,69,MEAT-PCKGD,Private,BACON,PREMIUM,12 OZ,PORK
2989,252628,2635,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,1 LB,UNKNOWN
2995,253192,2635,MEAT-PCKGD,National,BACON,ECONOMY,1 LB,PORK
3018,257028,2635,MEAT-PCKGD,National,BACON,ECONOMY,1 LB,PORK
3022,257851,69,MEAT,Private,BEEF,LEAN,3 LB,BOVINE
3043,262363,69,MEAT-PCKGD,Private,FROZEN MEAT,FRZN BREADED PREPARED CHICK,28 OZ,POULTRY
3047,262712,4310,MEAT,National,CHICKEN,CHICKEN DRUMS, ,POULTRY
3057,263944,2635,MEAT-PCKGD,National,LUNCHMEAT,LOAVE,6 OZ,UNKNOWN
3069,267257,2971,MEAT,National,BEEF,CUBED MEATS, ,BOVINE
3070,267281,2872,MEAT,National,BEEF,CHOICE BEEF, ,BOVINE
3083,269894,4314,MEAT,National,CHICKEN,CHICKEN BREAST BONELESS, ,POULTRY
3100,275575,1764,MEAT-PCKGD,National,BREAKFAST SAUSAGE/SANDWICHES,LINKS - COOKED,12 OZ,PORK
3116,279907,1089,MEAT-PCKGD,National,LUNCHMEAT,POULTRY,9 OZ,POULTRY
3120,281136,3940,DELI,National,DELI MEATS,MEAT:HAM BULK, ,PORK
3121,281342,4305,MEAT,National,SMOKED MEATS,MISCELLANEOUS, ,UNKNOWN
3131,284611,4001,MEAT,National,BEEF,LEAN, ,BOVINE
3134,285287,4862,MEAT-PCKGD,National,DINNER SAUSAGE,SAUSAGE, ,PORK
3148,289012,3659,MEAT,National,BEEF,LEAN, ,BOVINE
3161,294423,1275,MEAT-PCKGD,National,LUNCHMEAT,POULTRY,12 OZ,POULTRY
3164,294671,4800,MEAT,National,SMOKED MEATS,HAM STEAKS/CUBES/SLICES, ,PORK
3172,297545,741,MEAT-PCKGD,National,BACON,ECONOMY,1 LB,PORK
3178,299526,1833,GROCERY,National,SEAFOOD - SHELF STABLE,SALMON,7.5 OZ,SEAFOOD
3179,299866,69,MEAT-PCKGD,Private,BACON,BETTER FOR YOU,12 OZ,PORK
3183,300173,2635,MEAT-PCKGD,National,LUNCHMEAT,BOLOGNA,1 LB,UNKNOWN
3189,303024,3384,DELI,National,SALADS/DIPS,SEAFOOD-FRE-LIVE SHLFSH-OTHER, ,SEAFOOD
